dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	class
0.024003	0.05799	0.11934	0.1684	0.24453	0.32596	0.32501	0.27766	0.30462	0.25753	0.25979	0.22089	0.15035	0.015023	0.0073817	0.0090608	0.013309	0.32596	0.33672	0.1809	-0.15582	0.094519	0.33999	0.34687	0.35251	0.35473	0.33896	0.28125	0.37017	1.2559	1.0644	1.0948	0.026705	0.052366	0.060344	0.13146	0.18973	0.19324	0.15157	0.16433	0.1366	0.1031	0.12062	0.081676	0.0060474	0.0031511	0.002882	0.0065031	0.26081	0.35869	0.31079	0.32236	0.089668	-0.078366	-0.033803	0.1245	0.041309	0.023006	0.10651	0.12036	0.14126	0.068539	-0.0006631	-0.10668	0.0097817	-0.11934	-0.03103	0.14005	0.017926	-0.11514	0.013995	-0.010899	-0.020366	-0.043084	-0.041578	-0.042787	2.0744	544.5
0.013097	0.0751	0.12558	0.15092	0.16554	0.11591	0.13281	0.2307	0.21672	0.15706	0.090065	0.13552	0.021192	0.011704	0.009489	0.008552	0.019557	0.2307	0.22517	0.1182	-0.10697	0.048542	0.25972	0.34529	0.45451	0.57935	0.6709	0.23438	0.069967	0.84643	0.80348	0.82528	0.040793	0.070726	0.080495	0.088126	0.05868	0.082726	0.12125	0.11535	0.083703	0.0463	0.075869	0.01098	0.010057	0.00086873	0.00091135	0.0033726	0.24257	0.2973	0.25642	0.27161	0.11224	0.072813	0.13421	0.1366	0.1414	-0.012096	0.13398	0.1369	0.13527	0.14111	0.037614	0.092452	0.042452	-0.0085993	-0.029895	0.1187	0.24613	0.080388	0.23167	0.1793	0.028847	-0.025854	0.017704	-0.0026169	1.9498	367
0.013008	0.08405	0.046956	0.033954	0.21626	0.084227	0.17411	0.15023	0.29759	0.24492	0.060436	0.11569	0.020035	0.012459	0.021679	0.015353	0.0087447	0.29759	0.21039	0.12366	-0.086731	0.042882	0.24874	0.34737	0.47944	0.63612	0.74111	0.1875	0.12715	0.66806	0.72493	0.77482	0.054425	0.030544	0.015951	0.12527	0.045307	0.095363	0.084205	0.16648	0.13745	0.034458	0.061372	0.013883	0.0043676	0.0039381	0.0075583	0.0048975	0.22949	0.28757	0.25135	0.26232	-0.036708	-0.039332	0.10935	-0.066585	0.12381	0.1027	0.077718	0.079741	0.076475	0.060595	0.141	-0.12612	0.1224	0.10188	-0.055206	0.024032	0.29951	0.10279	0.23242	0.20199	0.050372	-0.023977	0.024625	0.0050964	1.8049	361.5
0.020916	0.114	0.28371	0.26595	0.27212	0.26055	0.33503	0.46821	0.37646	0.29007	0.14211	0.16921	0.031638	0.018165	0.020581	0.015597	0.025973	0.46821	0.42357	0.23361	-0.18995	0.078796	0.44351	0.48644	0.53081	0.57128	0.58756	0.1875	0.33915	0.38936	0.51945	0.96138	0.071176	0.1527	0.14329	0.15088	0.13863	0.18071	0.25242	0.20044	0.15457	0.075829	0.089743	0.025971	0.011397	0.0075247	0.00095313	0.0058895	0.21431	0.35884	0.24337	0.29671	-0.013673	0.12312	0.12185	0.089211	0.13733	0.12052	0.12114	0.13641	0.13539	0.13373	0.14134	-0.12156	0.13491	-0.13676	-0.095858	0.01833	0.082383	-0.075807	0.063964	0.065808	-0.010157	-0.051353	-0.016688	-0.035268	2.0031	243.5
0.013354	0.095454	0.12988	0.13572	0.19954	0.19473	0.18284	0.26551	0.2427	0.23924	0.07102	0.046353	0.041405	0.0041734	0.013821	0.01471	0.019604	0.26551	0.24272	0.1381	-0.10462	0.042984	0.28683	0.40018	0.55183	0.7316	0.85234	0.28125	0.16549	0.20335	0.18323	0.87021	0.047509	0.080849	0.085493	0.11655	0.10342	0.097083	0.14166	0.13163	0.12691	0.038154	0.0066303	0.02899	0.0020531	0.0053138	0.0018015	0.0041705	0.21553	0.3007	0.24316	0.26206	0.12516	-0.011679	-0.019619	-0.11327	0.13957	0.13988	0.13388	0.11405	0.14106	0.12534	0.13523	-0.055899	-0.12046	0.056412	-0.00084221	-0.1015	0.18313	-0.00067993	0.10986	0.09961	0.032181	-0.043851	-0.010509	-0.021188	1.9956	243
0.0071895	0.091729	0.062678	0.056009	0.013832	0.087162	0.040425	0.1382	0.20583	0.05537	0.071741	0.044835	0.0045187	0.014947	0.018502	0.007634	0.017031	0.20583	0.098531	0.048031	-0.050501	0.023038	0.13188	0.23548	0.40991	0.64325	0.64369	0.34375	0.11768	0.49639	0.52722	0.58325	0.044337	0.011085	0.026377	0.0083651	0.046225	0.02146	0.075407	0.10943	0.029423	0.038541	0.024824	0.00094388	0.0043693	0.010613	0.0023581	0.0064244	0.25395	0.24357	0.24891	0.2496	-0.11838	0.11618	-0.11205	0.12103	0.14142	0.14017	0.10701	0.13826	0.13892	0.12537	0.090724	-0.037723	0.13293	0.054807	0.041533	0.07101	0.30991	0.18538	0.32348	0.2719	0.047518	-0.012208	0.052695	0.027057	1.6877	430.5
0.014707	0.08189	0.13147	0.14849	0.15553	0.20844	0.12906	0.18546	0.23334	0.17398	0.10209	0.05953	0.0092699	0.023441	0.021219	0.0093574	0.010385	0.23334	0.21401	0.1432	-0.07081	0.047307	0.24811	0.33326	0.44302	0.5695	0.66094	0.21875	0.28695	0.6089	0.53419	0.49201	0.036998	0.082749	0.092985	0.099227	0.11266	0.086434	0.11195	0.14648	0.096049	0.075625	0.032478	0.0049613	0.012508	0.0093447	0.005635	0.0010096	0.24259	0.31013	0.2667	0.2806	-0.13724	-0.019104	-0.015681	-0.027771	0.1181	-0.12043	0.010882	-0.017323	-0.13114	-0.096182	0.10717	0.12997	0.1337	0.12287	0.012731	-0.10765	0.16496	-0.043873	-0.024158	0.032791	0.017879	-0.047857	-0.041828	-0.037149	2.046	339.5
0.020773	0.0935	0.08956	0.038507	0.096271	0.1985	0.18342	0.31653	0.33554	0.34541	0.34343	0.261	0.21971	0.026334	0.0076866	0.0086801	0.016804	0.34541	0.34083	0.18462	-0.15621	0.081592	0.3544	0.38335	0.41266	0.43849	0.4451	0.3125	0.30841	1.282	1.1505	0.97596	0.0057503	0.03257	0.026377	0.0538	0.10528	0.097817	0.17119	0.17817	0.18485	0.19833	0.13921	0.11656	0.014087	0.0019039	0.0055286	0.0075244	0.25567	0.32952	0.26107	0.29528	0.11077	0.019422	-0.074347	0.080827	0.14131	0.13439	0.11737	0.13981	0.13005	0.048464	0.13428	0.14101	0.13056	0.10502	0.091324	0.11403	0.00075326	-0.14306	-0.048603	-0.037819	-0.028909	-0.036792	-0.035774	-0.040464	2.0037	302.5
0.0094402	0.14769	0.08461	0.07309	0.074435	0.050812	0.079049	0.088869	0.19477	0.10929	0.061208	0.11907	0.033066	0.011575	0.028219	0.02262	0.020293	0.19477	0.076008	0.04439	-0.031618	0.028452	0.097534	0.16023	0.25808	0.38543	0.42005	0.65625	0.12387	0.32344	0.33636	0.36515	0.075167	0.051995	0.025633	0.044808	0.017546	0.025841	0.034875	0.10978	0.058766	0.034119	0.029126	0.019213	0.0070871	0.010359	0.0059116	0.010371	0.23888	0.26886	0.27693	0.26243	-0.023492	0.052709	0.047005	0.13478	-0.022106	0.095601	-0.024508	0.064128	0.12425	0.055493	0.05522	-0.1195	9.0427e-05	0.13086	-0.022858	0.14138	-0.096895	-0.069063	-0.018533	-0.052923	-0.039528	-0.041267	-0.037341	-0.037953	1.9387	273.5
0.020562	0.052268	0.046809	0.037851	0.030177	0.1516	0.25994	0.36428	0.32601	0.30258	0.21813	0.14349	0.13021	0.015128	0.013945	0.0080056	0.018717	0.36428	0.27289	0.17414	-0.098751	0.066939	0.2952	0.34546	0.40168	0.45848	0.49791	0.375	0.19195	0.98054	0.97138	1.0419	0.010835	0.02489	0.013494	0.0064785	0.082007	0.15716	0.22516	0.22036	0.17748	0.12445	0.076958	0.072586	0.0021549	0.0063363	0.0036846	0.0070044	0.23074	0.3149	0.254	0.27772	-0.0025134	-0.11501	-0.058346	0.13856	0.1171	0.0096531	-0.0067219	-0.059671	0.034507	0.059918	0.12735	0.08344	0.032945	-0.13991	-0.1134	0.073309	0.19453	-0.025227	0.050916	0.075539	0.037008	-0.045079	-0.017077	-0.025859	2.01	409.5
